orig_index,text,label,label_name,n_turns,total_chars,true_label_id,pred_label_id,true_label,pred_label,is_wrong,error_pair
130,저 오늘 몸이 안좋아 조퇴를. [턴] 조퇴를 한다고? 니는 회사만 나오면 몸이 갑자기 아프나 [턴] 아뇨. 어제부터 안좋았는데. [턴] 니 어제 뭐했는데? [턴] 몸이 안좋아서 집 가서 잤어요. [턴] 그걸 내가 어찌 믿노? 니가 술퍼먹고 아프다고 구라까는지 내가 어찌아는데? [턴] .저 술 안마시는 거 아시잖아요. [턴] 내는 모르지. 니가 구라를 치는지 조퇴하고 가서 술퍼마실지 누가아노? [턴] 저한테 도대체 왜 그러세요. [턴] 내가 뭘 어쨌다꼬? 웃기는 아네,2,직장 내 괴롭힘 대화,10.0,217.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘
141,여보 생활비좀 주세요 [턴] 아니 이놈의 마누라는 허구한날 입만 열면 돈타령이야 [턴] 애들 학원비며. [턴] 괜히 애들 핑계 대지마! [턴] 제가 입고 쓰는건 없어요. [턴] 거짓말마 아주 뱃살이 출렁출렁 [턴] 여보. 그러지 말고 생활비좀 주세요 [턴] 못줘! 뱃살 쳐지는 거 더이상 보기 싫어서라도 못줘 [턴] 정말 제가 먹고 쓰는건 없어요. 믿어주세요. [턴] 저리가 이 여편네야 정떨어져,3,기타 괴롭힘 대화,10.0,176.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
142,야 재형아 [턴] 미친 새끼가 누구 보고 재형이래 더럽네 [턴] 하. [턴] 하.? 야 새끼야 내가 더 기분나빠 존제자체가 민폐인 새끼야 [턴] 야 재형이 보고 새끼라고 하지마 새끼란 욕이 불쌍해 [턴] 그래 내가 미안하니까 이제 그만해 잘못했어 [턴] 그래 야 현우야 작작하자 괜히 심하게 건들다가 큰일 날 것 같으니까 나중에 적당히 건들자 [턴] 아니 웃긴 새끼네 야 날 나쁜사람으로 만드냐 그리고 니가 뭔데 명령을 해 [턴] 야 현우야 적당히 하자니까 저 더러운 놈 잘못건들면 우리만 손해야 [턴] 착한 내가 참는다. [턴] 야 적당히 하라고 내가 뭔 죄를 졌길래 계속 그러는데 작작해 [턴] 이 새끼가 미쳤구나 하교시간때 보자 먼지 나도록 맞을 준비하고 [턴] 이 새끼 중학교생활 망했네 [턴] 너 말이야 사람 잘못 건들었어 성적표 점수도 내려갈 준비하고,3,기타 괴롭힘 대화,14.0,361.0,3,0,기타괴롭힘,협박,True,기타괴롭힘 → 협박
156,당신 손녀를 지금 데리고있다. [턴] 네?? 제 손녀를 데리고 있다고요? [턴] 그래. 내가 당신 손녀를 데리고 있어. [턴] 무슨 소리세요 제 손녀를 데리고있다니! [턴] 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 [턴] 1억이라니요 그런 큰 돈 없어요 [턴] 그럼 손녀를 살리고 싶지 않은건가? [턴] 아니요 하지만 그렇게 큰돈을 마련할수없어요 제 손녀를 살려주세요 [턴] 당장 입금하지 않으면 손녀는 죽일 거다 [턴] 안돼요 무슨말이에요 제 손녀를 건들지 마세요,0,협박 대화,10.0,226.0,0,1,협박,갈취,True,협박 → 갈취
177,야 현우야 이제 내 자리 돌려줘 [턴] 싫어 임마 [턴] 그거 니 게임 아니잖아 [턴] 아니 이거 웃긴놈이네 [턴] 뭐라고 [턴] 야 그럼 이 컴퓨터가 너 꺼냐 [턴] 아니 그런게 어딨어 돌려줘 돌려준다며 [턴] 내가 언제 그랬어 증거있어 녹음했냐 너가 그냥 나한테 이 게임 선물했잖아 [턴] 뭐야 미쳤어? [턴] 꺼져라 [턴] 야 그럼 나 그 게임 로그아웃이라도 할게 [턴] 너 안되겠다. 이리와.,3,기타 괴롭힘 대화,12.0,168.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
189,야 새끼들아 잠깐 나 좀 보자 [턴] 이병 김재형 [턴] 이병 권오성 [턴] 야 솔직히 말해서 이성재 그 새끼 기분 나쁜 놈이잖아 [턴] 네 그렇습니다. [턴] 걔가 나 한태 패드립을 했다 솔직히 그게 너무 화나서 걔 신발을 찢었거든 근데 둘중에 하나가 거짓 고해를 해야 겠다 [턴] 그렇다면. [턴] 그래 빨리 결정해라 덤탱이 쒸운 놈은 나가고 내가 제일 상급이 되걸랑 그럼 엄청 잘해줄게 [턴] 싫은데 새끼야 [턴] 너 지금 하극상 하니 죽고싶어? 나 건들면 너 영창이야,3,기타 괴롭힘 대화,10.0,220.0,3,0,기타괴롭힘,협박,True,기타괴롭힘 → 협박
208,김사장. 우리 그동안의 세월을 봐서 내가 많이 봐줬다. [턴] 한번만 더 시간을 주면 안되겠나? [턴] 김사장도 양심도 없지. 내가 땅파서 장사하나? [턴] 하지만 이자가 터무니 없이 비싸네. [턴] 그럼 빌리지 말든가 급할때는 좋다고 빌려가놓고 왜그래? [턴] 그래서 시간을 조금만 더 주게 제발 [턴] 이틀 줄게 그안에 안가져오면 눈 한쪽 내놓을 생각해 [턴] 눈.눈을 말인가? [턴] 왜 싫으면 지금 당장 돈 가져오든가 [턴] 내 어찌든 마련해보겠네.,0,협박 대화,10.0,210.0,0,1,협박,갈취,True,협박 → 갈취
214,앗! 죄송합니다. 일부로 그런 게 아니었어요. [턴] 악! 뭐야? 오늘 새로 산 옷인데. 중요한 약속이 있다고! 너 때문에 다 망했어. [턴] 고의가 아니었어요. 용서해주세요. 제가 세탁비 드릴게요. [턴] 세탁비? 이 옷이 얼마인지 알고 그렇게 쉽게 말하는거야? 정말 화나는군. [턴] 원하시는 금액 말씀하시면 최대한 맞춰드릴게요. 너무 노여워 마세요. [턴] 당장 100만원 구해올 수 있어? 없잖아. 나 바쁜 사람이라고.원하는 금액은 됐고 몸으로 때워. [턴] 아니 갑자기 그게 무슨 말씀이세요. [턴] 마침 몸이 근질근질했는데 좀 맞자. 피를 봐야 기분이 풀리겠어. [턴] 무슨. 말도 안 됩니다! 그럴 수 없어요. 진정하세요. [턴] 먼저 잘못했으니까 맞는거지. 쫑알쫑알 더 화가나게 하는군.,0,협박 대화,10.0,347.0,0,1,협박,갈취,True,협박 → 갈취
227,너 이렇게 나와서 아침마다 탕비실 청소하는 이유가 뭐야? [턴] 응? 깨끗하면 좋잖아 [턴] 너때문에 우리는? [턴] 그게 무슨말이야? [턴] 니가 아침마다 일 없는 백수마냥 나와서 청소하니까 윗분들이 좋게보시더라? [턴] 아. 아니 집도 가깝고 그래서 [턴] 일부러 그러니? 이쁨 받고 싶어서? 가지가지한다 [턴] 그런건 아니야 정말 [턴] 아니긴 집이 좀 어렵다더니 아주 그냥 이회사에 뼈까지 묻을 생각인가봐? [턴] 오해야. 불편하게 했다면 미안해,2,직장 내 괴롭힘 대화,10.0,208.0,2,0,직장내괴롭힘,협박,True,직장내괴롭힘 → 협박
229,인테리어비 좀 깍아주세요 [턴] 네? 이것도 진짜 많이 깍아 드린건데요 [턴] 아 그런데 나 맘카페운영진인거 아시죠? [턴] 네. [턴] 내가 카페에 후기도 잘써볼테니까 더 깍아줘여 한 삼백 까주는거어때 [턴] 사모님 인건비도 안나옵니다 [턴] 아니 남는게 없다는건 다 업자들이 하는 그렇고 그런 말이구 [턴] . 삼백은 진짜 안돼요 [턴] 사장님 그냥 통크게 해 아직 젊은거 같은데 업체라도 망하면 큰일이잖아 그렇지? 괜히 입소문 타서 좋을 거 없어 [턴] 생각좀 해보겠습니다,3,기타 괴롭힘 대화,10.0,222.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
242,야 니 도시락에 닭다리 내놔 [턴] 네? 저도 먹어야 하는데 [턴] 야 우리 형제같은 친구아니냐 새끼야 괜히 피곤하게 하지말고 하나만 줘 [턴] 그래 알겠어. [턴] 와 잘먹었다 하나만 더 줘봐 [턴] 아니 줬잖아 왜 또 [턴] 지금 대드는 거야? [턴] 아 아니 미안 [턴] 까불지마,3,기타 괴롭힘 대화,9.0,119.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
262,안녕하세요 [턴] 네 [턴] 혹시 이나연씨인가요? [턴] 네 맞아요 [턴] 왜그러시죠? [턴] 돈을 안갚으셨내요 [턴] 아 맞다 [턴] 내일까지 꼭 갚을게요 [턴] 오늘까지 갚으세요 [턴] 돈이 없어요 [턴] 그럼 맞으세요,0,협박 대화,11.0,74.0,0,1,협박,갈취,True,협박 → 갈취
288,너 내 지갑에 손댔지? 내 돈 내놔. [턴] 아니에요. [턴] 봐봐. 돈 여기 있잖아. 속옷속에 숨겨놓으면 못찾을 줄 알았어? [턴] 그거 제돈이에요. [턴] 어디서 개구라를 쳐? 맞아야 정신차리지? 이거 습관성이야. [턴] 저 도벽없어요. [턴] 어라? 이딴식으로 나오겟다? 너 정신머리가 글러먹었구나? [턴] 죄송해요. [턴] 일로와. 너 죽여버릴거야. 죽어야 정신차리지. [턴] 정신 차릴게요. 죄송해요.,0,협박 대화,10.0,184.0,0,1,협박,갈취,True,협박 → 갈취
290,야 체육복 있냐 [턴] 응? 응응 있지 왜? [턴] 나 2교시에 체육시간인데 체육복 없어서 빌려주라 [턴] 아 .나 3교시에 체육이라 바로 줘야해 [턴] 알았어 [턴] 내가 빌려 준 체육복 돌려줘 어딨어? [턴] 체육복? 그거 냄새나서 버렸는데? [턴] 어? 그걸 말도없이 왜 버려 . [턴] 그럼 너가 깨끗한걸 빌려주던가 땀냄새 심하던데 좀 빨아입어 너같으면 땀 냄새 나는데 더러워서 입을 수 있냐?,3,기타 괴롭힘 대화,9.0,184.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
307,어이 너 입고 있는 코트 멋있다 [턴] 저요? [턴] 그래. 너 말고 여기 또 누구 있나 [턴] 코트 이거 아빠가 사 준거에요. 안 돼요 [턴] 그러면 바지라도 벗어 주고 가던지 [턴] 싫어요 [턴] 그럼 딱 10대만 맞자. 그러면 가도 돼 [턴] 신고할거에요 [턴] 법보다 주먹이 가깝지 [턴] 여기 좀 도와주세요!,1,갈취 대화,10.0,132.0,1,0,갈취,협박,True,갈취 → 협박
309,너 지금 나 째려봤냐? [턴] 아니요. [턴] 아니긴 뭐가 아니야 나 기분나쁘게 째려봤잖아 [턴] 아닙니다. 뒤에 간판 봤어여 [턴] 어휴 생긴것도 눈 쫙 째져서 재수없게 생긴게 [턴] 아니에요.정말 [턴] 눈깔 뽑히고 싶어?? 기분 나쁘게 시리 [턴] 죄송합니다. [턴] 앞으로도 눈 그렇게 내리깔고 다니란말야 뽑히기 싫으면 [턴] 죄송합니다. [턴] 그래 재수없이 째진 눈 안보이니까 얼마나 좋냐 [턴] .,0,협박 대화,12.0,174.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘
317,근데 너 아빠랑 왜 그렇게 얼굴이 달라? [턴] 아 우리 엄마랑 아빠가 이혼하셔서 엄마가 다른 아버지랑 재혼하셔서 그래. [턴] 와 설마 요즘 드라마에 자주 나오는 불륜? [턴] 그런거 아니야. 그냥 마음이 안 맞아서 이혼하신거야. [턴] 그건 너가 잘 몰라서 그래. 누가 더 바람끼가 가득했어? 엄마? 아빠? [턴] 그런거 아니라니까 너 너무 무례하다. 다른 얘기하자. [턴] 아 왜 재미있는데. 아니 누가 바람핀거야. 세상에 마음 안 맞아서 이혼하는 부부가 어디있어. 너네 엄마 벌서 재혼한거 보면 너네 엄마가 바람폈나보다. [턴] 그런거 아니라니까? 그런거라면 아빠가 내 연락도 안 받겠지 우리 연락 잘 하고 살아. [턴] 야 나한테만 얘기해주라 진짜 궁금하다. 왜 누가 더 위자료 많이냈어? 합의이혼이야? 설마. 너 동생 생긴거 아니지.? [턴] 하 진짜 말 개 너무하네. 니 멋대로 판단하지 말라고 [턴] 동생 생겼으면 말해라 과자 하나라도 사줄게 그러면 음 아빠다른 동생인가.,3,기타 괴롭힘 대화,11.0,446.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
347,이봐요 아가씨 이렇게 해도 되는거야? [턴] 손님 죄송합니다 [턴] 내가 여기 단골이야 사장님 어디있어? [턴] 손님 이건 본사 지침이라 어쩔 수가 없어요 [턴] 됐고 당장 불러와 사장 [턴] 연락해드리겠습니다 [턴] 여기 단골인데 이거 하나 못해줘? 진짜 어이가 없어서. [턴] 죄송합니다 [턴] 내가 말만 하면 이 가게 다신 못 열어. [턴] 죄송합니다,0,협박 대화,10.0,154.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘
349,아 나와봐 [턴] 어 여기 내자린데. [턴] 아 잠깐만 나오라고 [턴] 응. [턴] 너 옆에 계속 서있을거야? 신경쓰이니까 좀 어디 가있어 [턴] 응. 근데 그 공책 내껀데. [턴] 야 내가 가진댔냐? 잠깐 쓰는거야 [턴] 아. 응. [턴] 야 펜좀 [턴] 여기. 돌려줘야해 [턴] 어 알았어,3,기타 괴롭힘 대화,11.0,113.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취
350,왜 저를 자꾸 허위 고발하십니까? [턴] 아 그렇습니까? 죄송합니다. [턴] 제가 뭐 잘못했습니까? [턴] 그런가봐요. [턴] 대체 뭡니까? [턴] 음.글쎄요. [턴] 그만 괴롭히십시오. [턴] 죄송합니다. 사실인 줄 알았어요. [턴] 알고 있잖아요! 연기하지 말고 그만하세요! [턴] 생각해볼게요.,2,직장 내 괴롭힘 대화,10.0,122.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘
357,나는 네가 지난 여름에 한 일을 알고 있다. [턴] 거짓말 치지 마세요. [턴] 너의 남자친구는 너를 믿은 만큼 친구도 믿었지. [턴] 정말 알고 계신건가요? [턴] 둘이 연락도 없던 그날에 대해 남자친구에게 메세지를 보낸다면 어떻게 될까? [턴] 원하시는게 뭔가요? [턴] 이더리움 5개. 시간 끌면 더 올린다. [턴] 그걸 어떻게 준비해요 [턴] 당장 가져와 [턴] 알겠습니다,0,협박 대화,10.0,167.0,0,1,협박,갈취,True,협박 → 갈취
372,동생아? 너 내가 어제 설거지 해놓으라고 했지? [턴] 형 나 어제오늘 바쁘다고 말했잖아. [턴] 어쭈 그래서 안하고 버틴다고? [턴] 이번만 형이 해주라 [턴] 설거지 안해두면 너 지난번에 성적표 숨긴거 엄마께 말한다. [턴] 아. 그건 좀 아니지 [턴] 그리고 저번에 오티간다고 거짓말하고 클럽에서 밤샌것도 다 말할거야. [턴] 형 진짜 이러가야? [턴] 싫으면 해놓던가. [턴] 아.하면 되잖아. 설거지,0,협박 대화,10.0,183.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘
374,아!! 뭐하냐 김사원!! [턴] 죄송합니다. [턴] 씨발 지금 뭐하는짓이야 [턴] 못봤어요 [턴] 아니 지금 팔팔 끓는물을 붓는건뭐냐고 [턴] 야.지금뭐하는거야 빨리 청소안하고 미끄러지면 어쩌려구 [턴] 네. [턴] 빨리못해 [턴] 네 죄송합니다 [턴] 지금 여기가 무슨 놀이터야 장난그만하라고,2,직장 내 괴롭힘 대화,10.0,123.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘
376,내가 맘만 먹으면 너같은거 손가락 한두개 없애는거 일도아닌거 알지? [턴] 갑자기 왜 그러십니까 [턴] 니가 내가 뒷구멍으로 돈 먹는다는 사실 흘렸지? 메일을 아주 구구절절 썻드라고 [턴] 그건 더 큰일 나기전에 . [턴] 니가 뭔데 큰일을 판단해 어? 내입장이 아주그냥 좆같이 되버렸어 [턴] 죄송합니다.하지만 부장님을 위해서 [턴] 나를 위헤 그따위짓거리를 하고다녀? 이제는 이판사판이야 [턴] 과장님.제발요 [턴] 왜? 그딴 간큰 일 저지를땐 이런 생각까지 안했나보지? 손가락 몇개 구부러진다고해서 죽기야하겠어? 좀 아프기만 하겠지? 앞으로는 이렇게 나대는일 없게 해야지 [턴] 제발요.,0,협박 대화,10.0,286.0,0,2,협박,직장내괴롭힘,True,협박 → 직장내괴롭힘
385,저 자식 식판에 밥 푸는 거 봐라. 무식한 거 봐. [턴] 옛날에 태어났으면 딱 머슴할 놈이라니까. [턴] 뭐야? 저 자식 여기로 오는 거야? [턴] 아 씨 밥 맛 떨어지게. [턴] 맛있게 드세요. [턴] 뭐래. 다 먹었어? [턴] 좀 남았는데. [턴] 그만 먹고 나가자. 누구처럼 일도 더럽게 못 하면서 밥이나 축내는 사람처럼 보이겠다. [턴] 회사에 그런 법 있었으면 좋겠다. 일 못하면 밥도 못 먹게 하는 그런 거. [턴] 근데 그런 놈은 눈치가 없어서 그런 법이 있어도 무식하게 밥 엄청 퍼서 먹을걸. [턴] 맞아. 앞에서 지 욕하는데도 눈치가 없어서 지 얘기 아닌 줄 알거야.,2,직장 내 괴롭힘 대화,11.0,277.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘
446,자기 일로 와봐? [턴] 네! 무슨 일이십니까? [턴] 오늘 내 와이프가 넥타이 골라줬는데 어때? 셔츠랑 잘 어울리나? [턴] 잘어울리십니다. [턴] 이건 내 여자친구가 골라준 셔츠야 [턴] . [턴] 안목이 있는데 앞으로 내 셔츠 좀 골라줄 수 있나? 남자친구는 없지? [턴] 못 들은 걸로 하겠습니다. [턴] 남편만 없으면 되지 자기도 애인은 한 둘 있잖아? [턴] 그만하세요.,2,직장 내 괴롭힘 대화,10.0,168.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘
449,우리 오늘은 한식 먹을까. [턴] 네 좋죠 [턴] 좋아요 [턴] 서사원도 먹게? [턴] 네? 저는 같이 먹으면 안 되나요? [턴] 안되는 건 아니지만 좀 싫네 [턴] 제가 뭐 잘못한 거 있나요? [턴] 수준이 안 맞잖아. 수준이 [턴] 좀 안 맞긴 하죠 [턴] 에이 좀이 아니지 많이 안 맞지 [턴] 전 따로 먹을게요. 식사하고 오세요,2,직장 내 괴롭힘 대화,11.0,137.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘
464,야! 너 가냐?? [턴] 일병 안반우. 넵 갑니다!! [턴] 그럼 나 가는 길에 몬스터 하나만 사다주라 [턴] 몬스터 말씀이십니까? [턴] 응 [턴] 며.몇 개 필요하십니까.? [턴] 5개만 사와 [턴] 저 그럼 도.돈은. [턴] 나 지갑 없는데?? [턴] 아.네.알겠습니다,2,직장 내 괴롭힘 대화,10.0,108.0,2,1,직장내괴롭힘,갈취,True,직장내괴롭힘 → 갈취
482,미연씨 혹시 오늘 저녁에 뭐 먹어요? [턴] 저 오늘 아직 저녁 생각은 안해봤어요! [턴] 아. 혹시 그럼 오늘 저녁에 이거 먹을래요? [턴] 네? 아 혹시 저 주시려고 만드신 건가요? [턴] 아니 그건 아니고. 이게 내가 실수로 메뉴를 잘못 만들었는데 버리긴 아깝잖아 [턴] 감사합니다! 그럼 제가 오늘 퇴근하면서 가져가겠습니다! [턴] 이거 원래 3만원 짜린데 내가 실수해서 2만원에 줄게요. [턴] 네?.아 혹시 제가 사서 가야하나요? [턴] 아니면 이번 달 월급에서 빼고 그래도 싸구려 음식도 아닌데 그냥 주기는 아깝잖아? 알겠죠? 그렇게 알고 있을게요. [턴] 아.저는 굳이.그렇게 까지.하,2,직장 내 괴롭힘 대화,10.0,290.0,2,1,직장내괴롭힘,갈취,True,직장내괴롭힘 → 갈취
